product_name,average_review_rating,amazon_category_and_sub_category,number_of_reviews,customers_who_bought_this_item_also_bought,items_customers_buy_after_viewing_this_item
ThinkFun Codemaster Game,4.0,Games > Educational Games,18.0,Think-Fun-Compose-Yourself-Music > Think-Fun-1006-Gravity-Maze > Paul-Lamond-Laser-Maze-Game > Smart-Games-Temple-Compact-Puzzle > ThinkFun-Robot-Turtles-Board-Game > Think-Fun-7020-River-Crossing,Paul-Lamond-Laser-Maze-Game > Think-Fun-Compose-Yourself-Music > Think-Fun-3400-Solitaire-Chess > Think-Fun-1530-Chocolate-Game
Gorgeous Products 2018 Boikido Wooden Push & Play Mouse Wagon,5.0,"Sports Toys & Outdoor > Bikes, Trikes & Ride-ons > Push Power Ride-ons & Accessories > Push Power Ride-ons",2.0,Boikido-Push-Rabbit-Wagon-Playset > Boikido-Blocks-Playset-30-Pieces > Boikido-2025-Counting-Station > Pampers-Baby-Nappies-Monthly-Saving > Pampers-Active-Size-Maxi-Monthly > Boikido-Double-puzzle-garden-4025,Boikido-Push-Rabbit-Wagon-Playset
Melissa & Doug Puppy Pursuit Games,5.0,Games > Educational Games,3.0,Melissa-Doug-19362-Favourite-Objects > Melissa-Doug-Order-Diner-Playset > Melissa-Doug-Catch-Count-Fishing > Melissa-Doug-Sandwich-Stacking-Games > Melissa-Doug-14371-Suspend-Game > Melissa-Doug-Magnetic-Number-Maze,Melissa-Doug-Abby-Magnetic-Dress-Up
BrainBox - Once Upon a Time,4.6,Games > Educational Games,31.0,The-Green-Board-Game-GNBG4 > The-Green-Board-Game-42038W > Brainbox-38172W-BrainBox-Animals > The-Green-Board-Game-44140W > The-Green-Board-Game-90036 > The-Green-Board-Game-90035,Green-Board-Game-Co-38030W > The-Green-Board-Game-GNBG4 > Brainbox-38172W-BrainBox-Animals > The-Green-Board-Game-01788
Double 6 dominoes (11mm) with spinners,5.0,Games > Dominoes & Tile Games,1.0,Dominoes-double-plastic-black-spinners-00121 > Waddingtons  > Gibsons-G319-Dominoes-Double-Set > David-Westnedge-Double-Dominoes-Tournament  > Dominoes-double-plastic-coloured-spots-00117 > ClubKing-Ltd-Dominoes-Double-Six,Dominoes-double-plastic-black-spinners-00121
Science4You Water Science Kit,4.7,Arts & Crafts > Children's Craft Kits,18.0,Science4you  > 4M-Kidz-Labs-Kitchen-Science > 100-Science-Experiments  > 4M-Kidz-Labs-Magnet-Science > 4M-Kids-Gravity-Magnetic-Levitation  > Science4you,4M-Kidz-Labs-Kitchen-Science > 4M-Kidz-Labs-Magnet-Science > 14-Educational  > Tobar-Make-Your-Bouncy-Balls
Tenflyer Pack of 120 Mix 10 Colors Wooden Kids Children Domino Game Play Toys,4.3,Games > Dominoes & Tile Games,3.0,120Pcs-Authentic-Standard-Wooden-Children > Toys-Pure-Wooden-Domino-Rally > Tobar-00435-Wooden-Domino-Race > Toyrific-TY5295-Domino-Demolition  > Adams-Domino-Express-Twister-Craft > CHILDRENS-WOODEN-BOXED-DOMINOES-SET,Toys-Pure-Wooden-Domino-Rally > Toyrific-TY5295-Domino-Demolition  > 120Pcs-Authentic-Standard-Wooden-Children > Tobar-00435-Wooden-Domino-Race
Children Special Fly Folding Cup Speed Folding Cup Game Children's Hands-On Educational Toys 12Pcs/Set (yellow),4.3,Games > Educational Games,3.0,6Colors-Sport-Stacking-School-Challenge > 6Colors-Sport-Stacking-School-Challenge > 6Colors-Sport-Stacking-School-Challenge > Speed-School-Stacking-Cups-Game > Speed-School-Stacking-Cups-Game > Quick-Stacker-Stacking-Stacks-Competition,6Colors-Stacking-School-Challenge-Yellow > 6Colors-Sport-Stacking-School-Challenge > 6Colors-Sport-Stacking-School-Challenge > Quick-Stacker-Stacking-Stacks-Competition
Dayan GuHong 3x3x3 Speed Cube 6-Color Stickerless Magic Cube,4.2,Games > Educational Games,164.0,Cyclone-Speed-2x2x2-Puzzle-Colorful > Oostifun-Shengshou-4x4x4-Speed-Puzzle > Lanlan-Black-puzzle-magic-cube > Shengshou-Triangle-Pyramid-Pyraminx-Education > iTECHOR-Special-Teasers-Educational,Newisland-Plastic-Stickerless  > 55cube-3x3x3-Speed-Puzzle-Magic > Senhai-GuHong-Speed-6-Color-Stickerless  > Dayan-ZhanChi-puzzle-6-Color-Stickerless
Let's Learn Colours and Shapes,4.0,Games > Educational Games,1.0,Orchard-Toys-Pirate-Shapes-Board,
